2015,1,1,-3,-11.5,14,-7.25,1.4,39.289,0
2015,1,2,-1.5,-14.5,5,-8,0.5,32.741,0
2015,1,3,4,-15.5,0,-5.75,0,32.741,0
2015,1,4,9.5,-12.5,0,-1.5,0,39.289,0
2015,1,5,10,-9,0,0.5,0,52.385,0
2015,1,6,10,-7.5,0,1.25,0,58.934,0
2015,1,7,11,-5.5,0,2.75,0,65.482,0
2015,1,8,12,-5,0,3.5,0,72.03,0
2015,1,9,12,-4.5,0,3.75,0,72.03,0
2015,1,10,8,-2.5,0,2.75,0,85.126,0
2015,1,11,7,-1,3,3,0.3,91.674,0
2015,1,12,7.5,0,7,3.75,0.7,98.222,0
2015,1,13,6.5,-1.5,9,2.5,0.9,91.674,0
2015,1,14,4.5,-3.5,6,0.5,0.6,78.578,0
2015,1,15,5.5,-6.5,0,-0.5,0,58.934,0
2015,1,16,11,-8,0,1.5,0,52.385,0
2015,1,17,11.5,-6,0,2.75,0,65.482,0
2015,1,18,13,-4,0,4.5,0,72.03,0
2015,1,19,13.5,-4.5,0,4.5,0,72.03,0
2015,1,20,12.5,-4.5,0,4,0,72.03,0
2015,1,21,7,-3.5,2,1.75,0.2,78.578,0
2015,1,22,3,-7.5,0,-2.25,0,58.934,0
2015,1,23,5.5,-9.5,0,-2,0,45.837,0
2015,1,24,8,-5.5,0,1.25,0,65.482,0
2015,1,25,10.5,-3.5,0,3.5,0,78.578,0
2015,1,26,13,-2.5,0,5.25,0,85.126,0
2015,1,27,11.5,-0.5,1,5.5,0.1,98.222,0
2015,1,28,13.5,-3.5,0,5,0,78.578,0
2015,1,29,12,-0.5,0,5.75,0,98.222,0
2015,1,30,8.5,2,19,5.25,1.9,117.87,0
2015,1,31,7,0.5,7,3.75,0.7,104.77,0
2015,2,1,9,-2.5,2,3.25,0.2,85.126,0
2015,2,2,12.5,-4,0,4.25,0,72.03,0
2015,2,3,14.5,-2.5,0,6,0,85.126,0
2015,2,4,16,-1,0,7.5,0,91.674,0
2015,2,5,17.5,-4,0,6.75,0,72.03,0
2015,2,6,17.5,-3,0,7.25,0,78.578,0
2015,2,7,17.5,-2.5,0,7.5,0,85.126,0
2015,2,8,18,0.5,0,9.25,0,104.77,0
2015,2,9,18,-1.5,0,8.25,0,91.674,0
2015,2,10,17.5,-2.5,0,7.5,0,85.126,0
2015,2,11,14,-3,0,5.5,0,78.578,0
2015,2,12,12,-3.5,0,4.25,0,78.578,0
2015,2,13,14.5,-2.5,0,6,0,85.126,0
2015,2,14,17.5,-2.5,0,7.5,0,85.126,0
2015,2,15,17,-1.5,0,7.75,0,85.126,0
2015,2,16,16,-5.5,0,5.25,0,58.933,0
2015,2,17,14,-6.5,0,3.75,0,58.933,0
2015,2,18,15.5,-4,0,5.75,0,65.481,0
2015,2,19,17.5,-2.5,0,7.5,0,72.029,0
2015,2,20,16,-1,0,7.5,0,85.126,0
2015,2,21,14.5,-2.5,0,6,0,78.578,0
2015,2,22,12.5,0,0,6.25,0,98.222,0
2015,2,23,8.5,-0.5,24,4,2.4,98.222,0
2015,2,24,3.5,-5,13,-0.75,1.3,72.03,0
2015,2,25,7.5,-8,0,-0.25,0,52.385,0
2015,2,26,9.5,-4,0,2.75,0,72.03,0
2015,2,27,8,-5,0,1.5,0,72.03,0
2015,2,28,6,0.5,1,3.25,0.1,104.77,0
2015,3,1,6,0.5,25,3.25,2.5,104.77,0
2015,3,2,5.5,-1,24,2.25,2.4,91.674,0
2015,3,3,5,-4,21,0.5,2.1,72.03,0
2015,3,4,4.5,-9,0,-2.25,0,52.386,0
2015,3,5,7,-10.5,0,-1.75,0,45.837,0
2015,3,6,9.5,-7.5,0,1,0,58.934,0
2015,3,7,11.5,-4.5,0,3.5,0,72.03,0
2015,3,8,14,-4,0,5,0,72.03,0
2015,3,9,15,-3,0,6,0,78.578,0
2015,3,10,15.5,-4,0,5.75,0,72.03,0
2015,3,11,16,-3,0,6.5,0,78.578,0
2015,3,12,14,2,0,8,0,117.87,0
2015,3,13,14.5,1.5,0,8,0,111.32,0
2015,3,14,16,-1,0,7.5,0,91.674,0
2015,3,15,17,-1.5,0,7.75,0,91.674,0
2015,3,16,19,-1,0,9,0,91.674,0
2015,3,17,19,1,0,10,0,104.77,0
2015,3,18,16,5.5,0,10.75,0,150.61,0
2015,3,19,14,3.5,0,8.75,0,130.96,0
2015,3,20,15,-2,0,6.5,0,85.126,0
2015,3,21,17,-2,0,7.5,0,85.126,0
2015,3,22,18,-0.5,0,8.75,0,98.222,0
2015,3,23,18,1.5,0,9.75,0,111.32,0
2015,3,24,17.5,-2,0,7.75,0,85.126,0
2015,3,25,17.5,1,0,9.25,0,104.77,0
2015,3,26,17.5,-1.5,0,8,0,91.674,0
2015,3,27,20,-2,0,9,0,85.126,0
2015,3,28,22,-1,0,10.5,0,85.126,0
2015,3,29,22.5,1,0,11.75,0,104.77,0
2015,3,30,21.5,1.5,0,11.5,0,104.77,0
2015,3,31,21.5,3,0,12.25,0,117.87,0
2015,4,1,20,5.5,0,12.75,0,150.61,0
2015,4,2,18,2.5,0,10.25,0,117.87,0
2015,4,3,16,-3,0,6.5,0,78.578,0
2015,4,4,15.5,-3,0,6.25,0,78.578,0
2015,4,5,18,0.5,0,9.25,0,98.222,0
2015,4,6,17,3.5,0,10.25,0,130.96,0
2015,4,7,15.5,4,0,9.75,0,130.96,0
2015,4,8,14,1,0,7.5,0,104.77,0
2015,4,9,15,-6.5,0,4.25,0,58.933,0
2015,4,10,16,-4.5,0,5.75,0,65.481,0
2015,4,11,17.5,-0.5,0,8.5,0,91.674,0
2015,4,12,19,0.5,0,9.75,0,98.222,0
2015,4,13,21,-1,0,10,0,78.577,0
2015,4,14,20.5,1.5,0,11,0,98.222,0
2015,4,15,16,-2,0,7,0,78.578,0
2015,4,16,9.5,-7.5,0,1,0,52.385,0
2015,4,17,10.5,-6,2,2.25,0.2,58.933,0
2015,4,18,15,0,0,7.5,0,91.674,0
2015,4,19,18.5,-0.5,0,9,0,78.578,0
2015,4,20,19,0.5,0,9.75,0,85.126,0
2015,4,21,19,2,0,10.5,0,98.222,0
2015,4,22,18,0,0,9,0,85.126,0
2015,4,23,16,-1,0,7.5,0,78.578,0
2015,4,24,13,1.5,0,7.25,0,111.32,0
2015,4,25,10.5,3.5,5,7,0.5,130.96,0
2015,4,26,11,1,11,6,1.1,104.77,0
2015,4,27,13,0.5,0,6.75,0,104.77,0
2015,4,28,18,1.5,0,9.75,0,98.222,0
